Temperature,Moisture,Rainfall,PH,Nitrogen,Phosphorous,Potassium,Carbon,Soil,Crop,Fertilizer
50.17984508,0.725892978,205.600816,6.227357805,66.70187235,76.96356027,96.42906521,0.496299708,Loamy Soil,rice,Compost
21.63331836,0.721958095,306.0816006,7.173131182,71.58331644,163.0576361,148.1283475,1.234242458,Loamy Soil,rice,Balanced NPK Fertilizer
23.06096362,0.685750945,259.3364141,7.380793274,75.70982965,62.09150832,80.30897055,1.795649621,Peaty Soil,rice,Water Retaining Fertilizer
26.24197519,0.755094665,212.7035133,6.883367121,78.03368731,151.0125215,153.0057123,1.517556229,Loamy Soil,rice,Balanced NPK Fertilizer
21.49015683,0.730672351,268.7867669,7.57876039,71.76512327,66.25737093,97.0008865,1.782985063,Peaty Soil,rice,Organic Fertilizer
50.17984508,0.227436131,275.5447962,8.82843282,74.99064102,128.6316816,129.0999853,0.843296088,Loamy Soil,rice,Gypsum
22.38683424,0.227436131,292.7451075,5.902665777,78.81498873,60.4717261,66.06084337,1.518379478,Peaty Soil,rice,Lime
21.34222738,0.785753144,249.9801852,5.692239729,72.08912147,42.59125548,68.03560892,2.410625385,Peaty Soil,rice,DAP
25.65799922,0.756739478,250.7010117,6.614611286,75.03250539,118.0053481,142.0047421,-0.280559958,Loamy Soil,rice,Compost
21.29692503,0.783450169,211.0493816,6.386645953,72.71148429,68.3520566,94.69540074,2.464714077,Peaty Soil,rice,Organic Fertilizer
29.0051548,0.777526701,290.8096202,5.1848698,85.4487904,47.08050139,67.2013236,2.250705838,Peaty Soil,rice,DAP
25.04663109,0.875021127,242.0806745,7.596491545,75.6268496,86.88584798,122.0067322,1.824172231,Peaty Soil,rice,Organic Fertilizer
24.5582779,0.864588012,270.2015744,5.077891029,83.57937587,47.99968362,57.03189831,0.76744133,Acidic Soil,rice,DAP
25.9626368,0.670031104,193.669998,7.064826235,69.75597761,149.3148008,140.3273591,2.2665391,Loamy Soil,rice,Water Retaining Fertilizer
50.17984508,0.838429739,208.6501269,6.877079238,35.52771842,144.0078175,149.2581339,1.484952518,Loamy Soil,rice,Urea
27.16251172,0.823494476,226.8723088,6.92096417,74.74445541,151.3626724,147.1449459,1.231255995,Loamy Soil,rice,Balanced NPK Fertilizer
20.52768858,0.871569396,279.5987281,6.101485339,77.40561181,66.10490541,98.20578845,1.529301252,Peaty Soil,rice,Organic Fertilizer
25.4487713,0.76034054,212.875327,6.912928818,70.74932521,153.6726499,144.1104891,3.241983684,Loamy Soil,rice,Balanced NPK Fertilizer
21.86581637,0.869469091,187.9238787,6.109552782,69.98740112,52.72956453,62.92391825,1.182528897,Peaty Soil,rice,Organic Fertilizer
23.93451934,0.750684497,283.1928696,5.592619636,80.33436643,63.621699,-20.50910839,0.744584653,Acidic Soil,rice,Muriate of Potash
21.50747982,0.864383872,184.8705814,6.760454667,68.44308175,68.25740509,80.68965587,0.890320494,Acidic Soil,rice,Compost
25.59651713,0.827566787,218.0459626,5.210040763,79.70447691,50.82686688,54.6032025,2.311799311,Peaty Soil,rice,Lime
22.42943437,0.794453256,205.0280649,5.873306562,70.80821245,56.07798465,74.43336233,1.32627903,Peaty Soil,rice,Lime
50.17984508,0.70191138,247.7558022,6.283741662,86.96971052,62.0048225,65.69209389,2.26000597,Peaty Soil,rice,Organic Fertilizer
26.95099634,0.227436131,214.2175393,7.343770509,72.83604415,94.66894646,111.0201753,3.241983684,Loamy Soil,rice,Water Retaining Fertilizer
23.0410202,0.788964715,247.9416711,7.764561161,78.78783369,73.86528901,80.5394512,0.964841672,Peaty Soil,rice,Compost
28.90937072,0.730683008,275.7220752,6.415572776,85.63783126,57.47848724,82.6267073,1.212212806,Peaty Soil,rice,Organic Fertilizer
24.08766756,0.719982869,246.4689611,7.030108983,81.10833586,-37.64973873,143.250181,1.123881976,Loamy Soil,rice,DAP
21.72109168,0.822433241,253.4967768,6.281396322,75.10984591,52.21525642,72.52489663,1.290020511,Peaty Soil,rice,Organic Fertilizer
24.21525696,0.862345601,210.928948,5.881422125,69.57158895,52.91837936,73.13839352,1.096947542,Peaty Soil,rice,Lime
20.83534175,0.715710157,240.3724713,5.698441951,77.8438198,53.24516495,67.16006188,2.022390354,Peaty Soil,rice,Lime
23.09774659,0.699117764,204.4527786,6.419031428,72.00320985,62.41039845,79.0840353,0.804274456,Acidic Soil,rice,Compost
21.78423135,0.699495631,211.5462632,5.968394347,74.92145204,68.78731197,83.66387919,0.655355524,Acidic Soil,rice,Lime
19.39265761,0.737093947,277.7240114,5.137542294,73.9239385,33.85300851,62.9417338,0.585721483,Acidic Soil,rice,DAP
25.86148471,0.70018875,242.7816377,6.307148296,77.08362761,60.36067991,66.6326951,2.294898172,Peaty Soil,rice,Organic Fertilizer
27.08504673,0.807650587,179.354653,6.073200145,74.74132311,54.06167082,66.36989532,1.701167527,Peaty Soil,rice,Organic Fertilizer
24.24847304,0.972361206,279.0923892,5.750526288,83.37843297,34.75719429,77.25424078,2.448811918,Peaty Soil,rice,DAP
23.81653978,0.863970232,281.0998891,5.41289108,81.82179263,51.13576255,54.02009578,1.314744902,Peaty Soil,rice,Lime
18.23578016,0.73788303,299.8437231,7.567767907,77.37652683,88.94464272,138.6079073,2.04403402,Loamy Soil,rice,Balanced NPK Fertilizer
23.39116419,0.80885321,306.0816006,3.908612908,35.52771842,47.95614952,66.91950251,1.560150413,Peaty Soil,rice,Urea
23.60210069,0.836306285,242.5874999,6.412835341,78.24082084,68.66189922,97.55028942,1.439775929,Peaty Soil,rice,Organic Fertilizer
26.3289403,0.702364035,198.7496367,5.447584728,74.55843735,53.29060044,56.79927347,1.165811263,Peaty Soil,rice,Lime
26.26180918,0.74336721,189.240396,8.82843282,73.31716161,154.4507577,149.3244371,1.58752619,Loamy Soil,rice,Gypsum
22.88839731,0.753303149,289.2416692,6.590039785,84.21767286,58.7762452,95.97033829,1.661811664,Peaty Soil,rice,Organic Fertilizer
29.10656063,0.859421061,256.9871801,7.128379209,81.64232263,123.2436919,148.2851494,1.731956618,Loamy Soil,rice,Balanced NPK Fertilizer
24.97049232,0.760361661,199.1083221,6.000470592,70.15535124,57.23990996,71.39485987,1.656949361,Peaty Soil,rice,Organic Fertilizer
28.89723936,0.925019853,194.8523742,5.350071768,73.95370944,43.32984277,53.19707355,3.241983684,Peaty Soil,rice,DAP
24.16339613,0.808636987,228.8844379,7.874057057,74.18316254,49.94836466,79.06910834,1.747827745,Peaty Soil,rice,DAP
23.64303131,0.779565324,218.9697034,7.246472618,69.4689771,119.8959652,144.4530026,1.059955926,Loamy Soil,rice,Balanced NPK Fertilizer
23.30791344,0.972361206,250.2530118,7.502741611,80.8092028,68.07111668,-20.50910839,1.194465234,Peaty Soil,rice,Muriate of Potash
20.05008148,0.676496766,220.5570723,5.500452078,74.97759204,57.56992553,50.88245614,1.959887833,Peaty Soil,rice,Lime
20.63079426,0.791648938,194.3301477,6.87972655,69.76745857,124.4223494,147.7244097,2.140871278,Loamy Soil,rice,Balanced NPK Fertilizer
23.03183991,0.901894194,175.775862,7.379071295,35.52771842,91.64991865,103.8345464,1.368341067,Loamy Soil,rice,Urea
23.05670497,0.802837794,-85.70959335,5.839823153,72.96269334,49.46817518,70.41136278,0.746938167,Acidic Soil,rice,DAP
